artist_name,track_name,prediction_confidence,business_score
Pav Dharia,Na Ja,0.9896471,0.97940135
Sidhu Moose Wala,295,0.98760366,0.975361
Chani Nattan,Daku,0.9854833,0.97117734
Jory Boy,No Te Hagas,0.9836009,0.96747077
Erika Lundmoen,Яд,0.98323524,0.9667515
A-Wall,Loverboy,0.9818828,0.96409386
Oxlade,KU LO SA - A COLORS SHOW,0.980963,0.9622884
Rondodasosa,NEW YORK,0.9801168,0.9606289
Dennis Lloyd,Nevermind,0.97758317,0.95566887
Berkay Altunyay,Olmazlara İnat,0.97666615,0.9538768
Victony,Soweto,0.9764771,0.9535075
Leah Kate,10 Things I Hate About You,0.9736892,0.94807065
yama,色彩,0.97103286,0.94290483
Aditya A,Chaand Baaliyan,0.96209973,0.9256359
Andra & The Backbone,Sempurna,0.95274585,0.9077247
Miley Cyrus,Muddy Feet (feat. Sia),0.9397198,0.8830733
Lola Young,Don't Hate Me,0.9327265,0.8699787
So!YoON!,Smoke Sprite (feat. RM of BTS),0.9222524,0.8505495
Morgan Wallen,Whiskey Friends,0.92121905,0.84864455
Morgan Wallen,Everything I Love,0.91363835,0.83473504
Morgan Wallen,Had It,0.90147984,0.8126659
